Chinese,Russian,Category
江湖,цзянху,WuxiaCore
俠,ся,WuxiaCore
俠義,сяи (праведность героя уся),WuxiaCore
武林,улинь (мир воинов),WuxiaCore
武林盟主,повелитель улинь,WuxiaCore
正道,путь праведных,WuxiaCore
魔道,путь демонов,WuxiaCore
黑白兩道,мир закона и преступный мир,WuxiaCore
快意恩仇,мстить врагам и платить по долгам — с удовольствием,WuxiaCore
人在江湖，身不由己,кто в цзянху — сам не хозяин себе,WuxiaCore
義薄雲天,праведность выше облаков,WuxiaCore
重義輕生,дороже чести — даже жизнь,WuxiaCore
氣,ци,WuxiaConcepts
真氣,истинная ци,WuxiaConcepts
內力,внутренняя сила,WuxiaConcepts
內功,внутреннее искусство,WuxiaConcepts
外功,внешнее искусство,WuxiaConcepts
經脈,цзинмай (каналы ци),WuxiaConcepts
奇經八脈,восемь чудесных каналов,WuxiaConcepts
任脈,Рэньмай (передний канал),WuxiaConcepts
督脈,Думай (задний канал),WuxiaConcepts
丹田,дантэнь (энергетический центр),WuxiaConcepts
打通任督二脈,соединить Рэньмай и Думай,WuxiaConcepts
走火入魔,потеря контроля над ци → безумие,WuxiaConcepts
先天,сяньтянь (врождённая сила),WuxiaConcepts
後天,хоутянь (приобретённая сила),WuxiaConcepts
輕功,циньгун (искусство лёгкости),WuxiaMartial
點穴,дяньсюэ (удар по точкам),WuxiaMartial
解穴,цзясюэ (освобождение от блокировки точек),WuxiaMartial
暗器,аньци (скрытое оружие),WuxiaMartial
兵器,бинци (оружие),WuxiaMartial
十八般兵器,восемнадцать видов оружия,WuxiaMartial
劍,цзянь (двулезвийный меч),WuxiaWeapons
刀,дао (однолезвийный клинок),WuxiaWeapons
槍,цянь (копьё),WuxiaWeapons
棍,гунь (посох),WuxiaWeapons
鞭,бянь (кнут/цеп),WuxiaWeapons
鏢,бяо (метательный клинок),WuxiaWeapons
飛刀,фэйдао (метательный нож),WuxiaWeapons
峨嵋刺,эмыйские шипы,WuxiaWeapons
判官筆,перо судьи (боевое перо),WuxiaWeapons
降龍十八掌,Восемнадцать ладоней повелителя драконов,CombatSkill
九陽神功,Божественное искусство Девяти Солнц,CombatSkill
九陰真經,Книга Истинной Инь Девяти Значений,CombatSkill
北冥神功,Божественное искусство Северного Моря,CombatSkill
易筋經,Сутра преобразования мускулов,CombatSkill
洗髓經,Сутра очищения костного мозга,CombatSkill
